Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
16.11.2023,"65,105.00","65,105.00","65,105.00","65,105.00",0.16,15,"976,575","976,575"
31.10.2023,"65,000.00","65,000.00","65,000.00","65,000.00",18.18,6,"390,000","390,000"
30.09.2021,"55,000.00","55,000.00","55,000.00","55,000.00",1.85,1,"55,000","55,000"
25.06.2019,"54,000.00",0,0,"54,000.00",0.00,0,0,"1,571,400"
20.06.2019,"54,000.00","54,000.00","54,000.00","54,000.00",0.00,8,"432,000","432,000"
19.06.2019,"54,000.00","54,000.00","54,000.00","54,000.00",-17.80,2,"108,000","108,000"
03.04.2019,"65,695.00",0,0,"65,695.00",0.00,0,0,"5,000,040"
07.12.2015,"65,695.00",0,0,"65,695.00",0.00,0,0,"5,001,680"
