Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
19.03.2024,300.00,300.00,300.00,300.00,0.00,25,"7,500","7,500"
04.07.2023,300.00,0,0,300.00,0.00,0,0,"12,340,836"
06.03.2023,300.00,0,0,300.00,0.00,0,0,"24,681,672"
05.11.2021,300.00,300.00,300.00,300.00,-50.00,"6,637","1,991,100","1,991,100"
02.07.2020,600.00,0,0,600.00,0.00,0,0,"5,008,110"
27.06.2017,600.00,600.00,600.00,600.00,0.00,"3,600","2,160,000","2,160,000"
22.06.2017,600.00,600.00,600.00,600.00,0.00,"3,600","2,160,000","2,160,000"
14.06.2017,600.00,600.00,600.00,600.00,-52.00,"2,771","1,662,600","1,662,600"
